# Coverage of tested hypothesis families for the Keysa 12-of-70 selection rule.
# count/unit: the number of distinct objects the family enumerates (orderings, readings,
# selections, or criteria, as noted). witness: whether a known-good input was confirmed
# recoverable by the same code path (yes) or not (uncertified). Source: analysis/tested.md.
family,count,unit,witness,date
L-001 orderings of the 12 dotless tokens,479001600,orderings,uncertified,2026-08-02
L-002 positional and geometric readings,669858,readings,witnessed,2026-08-02
L-006 semantic candidate selections (agent sweep),572368,selections,uncertified,2026-08-02
L-004 intrinsic-property criteria,105,criteria,uncertified,2026-08-02
L-003 acrostic realizable selections,36,selections,uncertified,2026-08-02
L-009 known sets under reading order with two words out of place,29235212,derivations,witnessed,2026-08-16
